datetime,open,high,low,close
2025-01-27 13:00:00,1.245,1.2452,1.2443,1.2451
2025-01-27 14:00:00,1.2451,1.2463,1.2447,1.2456
2025-01-27 15:00:00,1.2456,1.2458,1.2447,1.2453
2025-01-27 16:00:00,1.2451,1.2451,1.2443,1.2447
2025-01-27 17:00:00,1.2447,1.246,1.2447,1.2452
2025-01-27 18:00:00,1.2453,1.2456,1.2429,1.2429
2025-01-27 19:00:00,1.243,1.2464,1.2426,1.2458
2025-01-27 20:00:00,1.2458,1.2487,1.2451,1.2487
2025-01-27 21:00:00,1.2487,1.2508,1.2486,1.2496
2025-01-27 22:00:00,1.2494,1.2515,1.2492,1.2497
2025-01-27 23:00:00,1.2497,1.2521,1.2495,1.2513
2025-01-28 00:00:00,1.2513,1.2523,1.25,1.2503
2025-01-28 01:00:00,1.2502,1.2512,1.2497,1.25
2025-01-28 02:00:00,1.2501,1.2502,1.247,1.2474
2025-01-28 03:00:00,1.2474,1.2485,1.2469,1.2476
2025-01-28 04:00:00,1.2477,1.2485,1.2468,1.2475
2025-01-28 05:00:00,1.2475,1.2485,1.247,1.2478
2025-01-28 06:00:00,1.2479,1.2491,1.2474,1.249
2025-01-28 07:00:00,1.249,1.2496,1.2485,1.2491
2025-01-28 08:00:00,1.2491,1.25,1.2489,1.25
2025-01-28 09:00:00,1.2499,1.25,1.2493,1.2496
2025-01-28 10:00:00,1.2496,1.2498,1.2437,1.2451
2025-01-28 11:00:00,1.2452,1.2463,1.2446,1.2457
2025-01-28 12:00:00,1.2457,1.2466,1.2441,1.2451
2025-01-28 13:00:00,1.2449,1.2455,1.2439,1.2445
2025-01-28 14:00:00,1.2446,1.245,1.244,1.2441
2025-01-28 15:00:00,1.2441,1.2445,1.2435,1.2445
2025-01-28 16:00:00,1.2445,1.245,1.2444,1.2445
2025-01-28 17:00:00,1.2445,1.2453,1.2437,1.2441
2025-01-28 18:00:00,1.244,1.2449,1.2426,1.2437
2025-01-28 19:00:00,1.2438,1.2443,1.243,1.2433
2025-01-28 20:00:00,1.2434,1.2456,1.2429,1.2449
2025-01-28 21:00:00,1.2447,1.2452,1.2436,1.2436
2025-01-28 22:00:00,1.2436,1.2441,1.2426,1.2426
2025-01-28 23:00:00,1.2427,1.2435,1.2418,1.2427
2025-01-29 00:00:00,1.2426,1.2434,1.2415,1.2424
2025-01-29 01:00:00,1.2424,1.2443,1.2424,1.243
2025-01-29 02:00:00,1.2429,1.2447,1.2428,1.2432
2025-01-29 03:00:00,1.2432,1.2445,1.2422,1.243
2025-01-29 04:00:00,1.243,1.2437,1.2428,1.2428
2025-01-29 05:00:00,1.2429,1.244,1.2426,1.2431
2025-01-29 06:00:00,1.243,1.2445,1.2422,1.2443
2025-01-29 07:00:00,1.2443,1.2445,1.2437,1.2441
2025-01-29 08:00:00,1.2441,1.2443,1.2439,1.2443
2025-01-29 09:00:00,1.2443,1.2445,1.2439,1.2441
2025-01-29 10:00:00,1.2441,1.2443,1.2437,1.2441
2025-01-29 11:00:00,1.2441,1.2447,1.2436,1.2437
2025-01-29 12:00:00,1.2438,1.2442,1.2436,1.2436
2025-01-29 13:00:00,1.2436,1.2449,1.2435,1.2446
2025-01-29 14:00:00,1.2445,1.2451,1.2442,1.2448
2025-01-29 15:00:00,1.2449,1.2454,1.2449,1.2453
2025-01-29 16:00:00,1.2454,1.2456,1.2447,1.2454
2025-01-29 17:00:00,1.2456,1.2462,1.2453,1.2457
2025-01-29 18:00:00,1.2457,1.2464,1.2446,1.2449
2025-01-29 19:00:00,1.245,1.2458,1.2434,1.2439
2025-01-29 20:00:00,1.2439,1.2439,1.2416,1.2421
2025-01-29 21:00:00,1.2422,1.2425,1.2411,1.2416
2025-01-29 22:00:00,1.2416,1.2427,1.2413,1.242
2025-01-29 23:00:00,1.242,1.2426,1.241,1.2425
2025-01-30 00:00:00,1.2425,1.2428,1.2393,1.2398
2025-01-30 01:00:00,1.2397,1.2413,1.2397,1.2407
2025-01-30 02:00:00,1.2408,1.2446,1.2401,1.2434
2025-01-30 03:00:00,1.2434,1.2443,1.2424,1.2432
2025-01-30 04:00:00,1.2431,1.245,1.2431,1.2443
2025-01-30 05:00:00,1.2443,1.245,1.2435,1.2447
2025-01-30 06:00:00,1.2446,1.2458,1.2413,1.2445
2025-01-30 07:00:00,1.2443,1.2455,1.2433,1.2439
2025-01-30 08:00:00,1.2441,1.2452,1.2438,1.2451
2025-01-30 09:00:00,1.2451,1.2455,1.244,1.2451
2025-01-30 10:00:00,1.2452,1.2459,1.2448,1.2455
2025-01-30 11:00:00,1.2455,1.246,1.2452,1.2454
2025-01-30 12:00:00,1.2453,1.2455,1.2445,1.245
2025-01-30 13:00:00,1.2449,1.2456,1.2448,1.2449
2025-01-30 14:00:00,1.2449,1.2455,1.2448,1.2452
2025-01-30 15:00:00,1.2452,1.2455,1.2443,1.2446
2025-01-30 16:00:00,1.2445,1.2449,1.2442,1.2448
2025-01-30 17:00:00,1.2449,1.2449,1.2435,1.2441
2025-01-30 18:00:00,1.2441,1.2453,1.2432,1.2452
2025-01-30 19:00:00,1.2454,1.2462,1.2445,1.2456
2025-01-30 20:00:00,1.2455,1.2458,1.2435,1.2443
2025-01-30 21:00:00,1.2443,1.2447,1.2426,1.2431
2025-01-30 22:00:00,1.2431,1.2437,1.2425,1.2428
2025-01-30 23:00:00,1.243,1.2439,1.2424,1.2438
2025-01-31 00:00:00,1.2438,1.2472,1.243,1.2468
2025-01-31 01:00:00,1.2467,1.2476,1.2456,1.2464
2025-01-31 02:00:00,1.2464,1.2476,1.2461,1.2467
2025-01-31 03:00:00,1.2466,1.2472,1.2449,1.245
2025-01-31 04:00:00,1.2451,1.2452,1.2436,1.2445
2025-01-31 05:00:00,1.2445,1.2456,1.2443,1.2456
2025-01-31 06:00:00,1.2455,1.2461,1.2453,1.2459
2025-01-31 07:00:00,1.246,1.2464,1.2407,1.2436
2025-01-31 08:00:00,1.2437,1.2441,1.2416,1.2418
2025-01-31 09:00:00,1.242,1.2424,1.2411,1.2417
2025-01-31 10:00:00,1.2416,1.2424,1.2413,1.2423
2025-01-31 11:00:00,1.2422,1.2432,1.2413,1.2417
2025-01-31 12:00:00,1.2416,1.2425,1.2408,1.2418
2025-01-31 13:00:00,1.2419,1.2428,1.2416,1.2422
2025-01-31 14:00:00,1.2422,1.2426,1.2416,1.2417
2025-01-31 15:00:00,1.2418,1.2422,1.2415,1.2421
2025-01-31 16:00:00,1.242,1.2426,1.2417,1.242
2025-01-31 17:00:00,1.2421,1.2432,1.2419,1.243
2025-01-31 18:00:00,1.243,1.244,1.2424,1.2436
2025-01-31 19:00:00,1.2434,1.2439,1.2413,1.2414
2025-01-31 20:00:00,1.2409,1.2422,1.2401,1.2422
2025-01-31 21:00:00,1.2422,1.2426,1.2415,1.2417
2025-01-31 22:00:00,1.2416,1.242,1.2406,1.241
2025-01-31 23:00:00,1.2411,1.2424,1.241,1.242
2025-02-01 00:00:00,1.2421,1.2432,1.2409,1.2414
2025-02-01 01:00:00,1.2415,1.2415,1.2388,1.2394
2025-02-01 02:00:00,1.2395,1.2428,1.239,1.2426
2025-02-01 03:00:00,1.2425,1.2456,1.2415,1.2445
2025-02-01 04:00:00,1.2445,1.2472,1.2434,1.2454
2025-02-01 05:00:00,1.2454,1.2462,1.2391,1.2397
2025-02-01 06:00:00,1.2396,1.2405,1.2386,1.2401
2025-02-01 07:00:00,1.24,1.241,1.2388,1.2399
2025-02-01 08:00:00,1.2401,1.2412,1.2387,1.2392
2025-02-03 09:00:00,1.2291,1.232,1.229,1.2309
2025-02-03 10:00:00,1.2304,1.2325,1.2283,1.2291
2025-02-03 11:00:00,1.2289,1.2313,1.2266,1.2277
2025-02-03 12:00:00,1.2277,1.2307,1.2266,1.2289
2025-02-03 13:00:00,1.2287,1.2289,1.226,1.2262
2025-02-03 14:00:00,1.2262,1.2265,1.225,1.2263
2025-02-03 15:00:00,1.2262,1.2283,1.2249,1.2258
2025-02-03 16:00:00,1.2258,1.2279,1.2256,1.2277
2025-02-03 17:00:00,1.2277,1.2295,1.2277,1.2289
2025-02-03 18:00:00,1.2289,1.23,1.2277,1.2284
2025-02-03 19:00:00,1.2283,1.2323,1.2273,1.2306
2025-02-03 20:00:00,1.2306,1.2321,1.2289,1.2293
2025-02-03 21:00:00,1.2294,1.2315,1.2293,1.2313
2025-02-03 22:00:00,1.2311,1.2321,1.2302,1.2319
2025-02-03 23:00:00,1.2319,1.235,1.2317,1.2344
2025-02-04 00:00:00,1.2345,1.2375,1.2344,1.2365
2025-02-04 01:00:00,1.2365,1.237,1.2346,1.2355
